WORD                                                                                                 	 FREQ 
accompanier                                                                                          	 1 
agt                                                                                                  	 1 
agust                                                                                                	 3 
aint                                                                                                 	 13 
aln                                                                                                  	 3 
antaeus                                                                                              	 1 
antidisestablishmentarianism                                                                         	 2 
antisepsis                                                                                           	 1 
apert                                                                                                	 1 
arbitrageurs                                                                                         	 1 
archfiend                                                                                            	 1 
arent                                                                                                	 12 
arriere                                                                                              	 4 
asb                                                                                                  	 1 
ately                                                                                                	 1 
ating                                                                                                	 1 
atmospherics                                                                                         	 1 
attent                                                                                               	 1 
aventure                                                                                             	 1 
bacchae                                                                                              	 1 
balas                                                                                                	 1 
bcf                                                                                                  	 1 
bd                                                                                                   	 1 
beachcombing                                                                                         	 1 
bego                                                                                                 	 4 
bellybuttons                                                                                         	 1 
bola                                                                                                 	 1 
bolden                                                                                               	 1 
bosque                                                                                               	 1 
brassier                                                                                             	 1 
caba                                                                                                 	 2 
cannot                                                                                               	 6465 
challa                                                                                               	 4 
compositive                                                                                          	 1 
constr                                                                                               	 1 
conversi                                                                                             	 1 
coots                                                                                                	 1 
crossbreds                                                                                           	 1 
dabblers                                                                                             	 1 
deerskin                                                                                             	 1 
denarii                                                                                              	 1 
denazify                                                                                             	 1 
deponent                                                                                             	 1 
dichlorodiphenyltrichloroethane                                                                      	 1 
didnt                                                                                                	 49 
divisi                                                                                               	 5 
doesnt                                                                                               	 18 
dunno                                                                                                	 204 
edger                                                                                                	 1 
edutainment                                                                                          	 1 
efforce                                                                                              	 1 
embrocation                                                                                          	 1 
enc                                                                                                  	 2 
ense                                                                                                 	 1 
entrapments                                                                                          	 1 
epee                                                                                                 	 1 
erd                                                                                                  	 1 
espadrille                                                                                           	 1 
etang                                                                                                	 1 
etoile                                                                                               	 2 
eveque                                                                                               	 5 
extruder                                                                                             	 1 
fadeout                                                                                              	 3 
falsie                                                                                               	 1 
farad                                                                                                	 1 
fluey                                                                                                	 1 
fondon                                                                                               	 1 
formatters                                                                                           	 1 
gamester                                                                                             	 1 
gimme                                                                                                	 982 
glassblower                                                                                          	 1 
gn                                                                                                   	 1 
gnosticism                                                                                           	 1 
gonna                                                                                                	 101804 
gotta                                                                                                	 25852 
grallatorial                                                                                         	 1 
grampus                                                                                              	 1 
griddles                                                                                             	 1 
hadnt                                                                                                	 1 
haen                                                                                                 	 1 
haras                                                                                                	 6 
hasnt                                                                                                	 2 
haversacks                                                                                           	 1 
hes                                                                                                  	 59 
hiver                                                                                                	 3 
ign                                                                                                  	 1 
indiscernible                                                                                        	 1 
individ                                                                                              	 1 
innit                                                                                                	 49 
invalidates                                                                                          	 1 
ired                                                                                                 	 1 
ised                                                                                                 	 1 
kaha                                                                                                 	 1 
kame                                                                                                 	 3 
kie                                                                                                  	 1 
kief                                                                                                 	 1 
knab                                                                                                 	 2 
kob                                                                                                  	 11 
kra                                                                                                  	 1 
lares                                                                                                	 3 
lawrencium                                                                                           	 1 
lcm                                                                                                  	 1 
leapfrogged                                                                                          	 1 
leniently                                                                                            	 1 
lensman                                                                                              	 1 
lys                                                                                                  	 1 
malaguena                                                                                            	 1 
meck                                                                                                 	 1 
megara                                                                                               	 2 
mementoes                                                                                            	 1 
metros                                                                                               	 2 
minicab                                                                                              	 1 
mithridatism                                                                                         	 1 
mize                                                                                                 	 1 
mpg                                                                                                  	 1 
nesh                                                                                                 	 2 
nicol                                                                                                	 1 
nightman                                                                                             	 1 
noop                                                                                                 	 1 
nuddy                                                                                                	 1 
oba                                                                                                  	 2 
obe                                                                                                  	 1 
oersted                                                                                              	 1 
oleomargarine                                                                                        	 1 
oner                                                                                                 	 1 
oose                                                                                                 	 1 
oras                                                                                                 	 1 
overquick                                                                                            	 1 
pasteurize                                                                                           	 1 
patronne                                                                                             	 1 
perchloride                                                                                          	 1 
pewters                                                                                              	 1 
physiognomy                                                                                          	 1 
polydactyly                                                                                          	 1 
polyunsaturates                                                                                      	 1 
practic                                                                                              	 1 
proposer                                                                                             	 1 
psia                                                                                                 	 2 
punctiliously                                                                                        	 1 
quor                                                                                                 	 1 
qv                                                                                                   	 1 
rankly                                                                                               	 1 
rcd                                                                                                  	 1 
refired                                                                                              	 2 
refr                                                                                                 	 1 
repart                                                                                               	 1 
retaliations                                                                                         	 1 
rethe                                                                                                	 1 
rewelcome                                                                                            	 1 
ria                                                                                                  	 1 
rober                                                                                                	 1 
roms                                                                                                 	 1 
schoolma                                                                                             	 1 
secretaire                                                                                           	 1 
selle                                                                                                	 4 
semitrailer                                                                                          	 1 
sieur                                                                                                	 2 
simas                                                                                                	 1 
sina                                                                                                 	 5 
slabbed                                                                                              	 1 
slugfests                                                                                            	 1 
solera                                                                                               	 1 
somnambular                                                                                          	 1 
sool                                                                                                 	 1 
staleness                                                                                            	 1 
ster                                                                                                 	 4 
subedit                                                                                              	 3 
swith                                                                                                	 1 
tain                                                                                                 	 19 
tatler                                                                                               	 1 
tellies                                                                                              	 1 
tera                                                                                                 	 1 
termin                                                                                               	 1 
thwacking                                                                                            	 1 
timbale                                                                                              	 1 
trickful                                                                                             	 1 
trinitrotoluene                                                                                      	 1 
tucky                                                                                                	 1 
twait                                                                                                	 1 
twere                                                                                                	 8 
ui                                                                                                   	 3 
unburthen                                                                                            	 1 
unprecedentedness                                                                                    	 1 
untether                                                                                             	 1 
wanna                                                                                                	 25796 
wd                                                                                                   	 1 
witched                                                                                              	 1 
woon                                                                                                 	 1 
yds                                                                                                  	 4 
yomer                                                                                                	 2 
zodiacs                                                                                              	 1 
