word                           	 ipa                            	 ipa_model                      
availability                   	 əveləbɪlɪti                    	 əveləbɪlɪti                   
commodores                     	 commodores*                    	 kɑmədɔrz                      
genetic                        	 ʤənɛtɪk                        	 ʤənɛtɪk                       
metamorphoses                  	 metamorphoses*                 	 mɛtəmɔrfoʊzɪz                 
slouchy                        	 slouchy*                       	 slaʊʧi                        
cobblestones                   	 kɑbəlstoʊnz                    	 kɑbəlstoʊnz                   
jocular                        	 ʤɑkjələr                       	 ʤɑkjələr                      
gummed                         	 gəmd                           	 gəmd                          
enoch                          	 inək                           	 ɪnɑk                          
discover                       	 dɪskəvər                       	 dɪskəvər                      
coupon                         	 kupɔn                          	 kupɔn                         
immemorial                     	 ɪməmɔriəl                      	 ɪməmɔriəl                     
embankments                    	 ɛmbæŋkmənts                    	 ɛmbæŋkmənts                   
chateaux                       	 ʃətoʊ                          	 ʧetoʊ                         
sums                           	 səmz                           	 səmz                          
unanticipated                  	 ənæntɪsəpetɪd                  	 ənæntɪsəpetɪd                 
humiliates                     	 hjumɪliets                     	 hjumɪliets                    
mysteries                      	 mɪstəriz                       	 mɪstəriz                      
skirmish                       	 skərmɪʃ                        	 skərmɪʃ                       
constance                      	 kɑnstəns                       	 kɑnstəns                      
facetiae                       	 facetiae*                      	 fəsiʃiə                       
cloche                         	 cloche*                        	 kloʊʃ                         
bureaus                        	 bjʊroʊz                        	 bjʊroʊz                       
shoo                           	 ʃu                             	 ʃu                            
scala                          	 skɑlə                          	 skelə                         
colloquium                     	 kəloʊkwiəm                     	 kəloʊkwəm                     
compile                        	 kəmpaɪl                        	 kəmpaɪl                       
warrants                       	 wɔrənts                        	 wɔrənts                       
intercoms                      	 intercoms*                     	 ɪntərkɑmz                     
frittering                     	 frɪtərɪŋ                       	 frɪtərɪŋ                      
nonevent                       	 nɑnɪvɛnt                       	 nɑnəvənt                      
solely                         	 soʊəli                         	 soʊəli                        
divided                        	 dɪvaɪdɪd                       	 dɪvaɪdɪd                      
extortion                      	 ɛkstɔrʃən                      	 ɛkstɔrʃən                     
buckhorn                       	 bəkhɔrn                        	 bəkhɔrn                       
reverberated                   	 rɪvərbəretɪd                   	 rɪvərbəretɪd                  
scissors                       	 sɪzərz                         	 sɪzərz                        
moreover                       	 mɔroʊvər                       	 mɔroʊvər                      
cueing                         	 cueing*                        	 kjuɪŋ                         
thoracoscope                   	 thoracoscope*                  	 θɔrəkɑskoʊp                   
iconography                    	 aɪkənɑgrəfi                    	 aɪkənɑgrəfi                   
velour                         	 vɛlur                          	 vɛlur                         
ballo                          	 bæloʊ                          	 bæloʊ                         
hyping                         	 haɪpɪŋ                         	 haɪpɪŋ                        
arousing                       	 əraʊzɪŋ                        	 əraʊzɪŋ                       
intertwined                    	 ɪntərtwaɪnd                    	 ɪntərtwaɪnd                   
regurgitated                   	 regurgitated*                  	 rɪgərʤətetɪd                  
epsilon                        	 ɛpsəlɑn                        	 ɛpsəlɑn                       
poof                           	 puf                            	 puf                           
santos                         	 sæntoʊs                        	 sæntoʊz                       
tubocurarine                   	 tubocurarine*                  	 tubəkjʊrɛrin                  
crouched                       	 kraʊʧt                         	 kraʊʧt                        
preceptors                     	 preceptors*                    	 prəsɛptərz                    
picky                          	 pɪki                           	 pɪki                          
premiering                     	 prɛmɪrɪŋ                       	 prɛmɪrɪŋ                      
unspoiled                      	 ənspɔɪld                       	 ənspɔɪld                      
dirge                          	 dərʤ                           	 dərʤ                          
plagiarised                    	 plagiarised*                   	 plæʤərɪzd                     
trousers                       	 traʊzərz                       	 traʊzərz                      
rube                           	 rub                            	 rub                           
nippers                        	 nippers*                       	 nɪpərz                        
disproven                      	 dɪspruvɪn                      	 dɪspruvən                     
teleconference                 	 tɛləkɑnfrəns                   	 tɛləkɑnfrəns                  
rescuer                        	 rɛskjuər                       	 rɛskjuər                      
gree                           	 gree*                          	 gri                           
landscaper                     	 lændskepər                     	 lænskepər                     
efface                         	 ɪfes                           	 ɪfes                          
